"num_step"	"brunneaA"	"brunneaB"	"deplanataA"	"deplanataB"	"kauaiensisA"	"kauaiensisB"	"mauiensisA"	"mauiensisB"	"molokaiensisA"	"molokaiensisB"	"nihoaA"	"nihoaB"	"nitidaA"	"nitidaC"	"nitidaB"	"parvulaA"	"parvulaB"	"pilimauiensisA"	"pilimauiensisB"	"unicaA"	"unicaB"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"
1160	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1170	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1180	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1190	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1200	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1210	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1220	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1230	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1240	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1250	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1260	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1270	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1280	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1290	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1300	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	4	4	4	4	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
